id,title,vote_average,vote_count,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
1,Rocky Balboa,6.85,3171,2006-12-20,155929020,101,FALSE,/9mwMaNeeqPXJviKk2UKLxFm9vUW.jpg,24000000,https://www.mgm.com/movies/rocky-balboa,tt0479143,Rocky Balboa,"His Wife is dead and his Son hates him, but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger, and thirty years his junior.",35.605,/xUylDspiTKU3cYzZNeLsN8Krv12.jpg,It ain't over 'til it's over.,Drama,"Rogue Marble, Columbia Pictures, Revolution Studios, Metro-Goldwyn-Mayer, Winkler Films",United States of America,"English, Georgian, Spanish"
2,Chasing the Star,0,0,2017-09-05,0,96,FALSE,/aW5QkoW1ajjfTjlz6UvUDIkBxkG.jpg,0,https://cdiproductions.com/projects/chasing-the-star/,tt5126178,Chasing the Star,Three Magi Priests from different regions of the world journey through the unforgiving desert in hopes of finding proof of an age old prophecy. But Kings of men and fallen angels will stop at nothing to destroy the Magi and the baby boy they hold dear. These evils force the Magi to confront and make peace with old demons in order to prepare for the arrival of the new born King.,2.055,/AoXWuDI4TCrnd6T4XzRw8MlVsHo.jpg,The Saviour is born,"Family, Adventure",Collective Development,United States of America,English
3,David Gan: the Front Lines,0,0,2012-01-01,0,6,FALSE,/kMzCzbXF3rNLUpNB31SKEmJ6mbv.jpg,18000,http://www.eldoradofilms.com,tt7969392,David Gan: the Front Lines,"A young David Gan joins the WWII effort, eager to serve his country. Feelings of exclusion as a Chinese-American disappear in the Army. After experiencing the loss of so many fallen comrades, David dedicates his life to those who never came home.",0.6,/6Ze0JAcFHSYOceSVDzUs7BNAXFz.jpg,The story of a man who dedicated his life to remembering those who served with him as his brothers.,"Documentary, War","El Dorado Films, Veteran Documentary Corps",United States of America,English
4,How to Be Single,6.246,3048,2016-02-08,112343513,110,FALSE,/9yXPubeQuNzyIdbaUoXAurK40xv.jpg,38000000,http://howtobesinglemovie.com/,tt1292566,How to Be Single,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",25.223,/a4Ce3qHqIyHM3QfGsiVTAu3YADJ.jpg,Welcome to the party,"Comedy, Romance","New Line Cinema, Metro-Goldwyn-Mayer, Flower Films",United States of America,English
5,Friday,7.148,1594,1995-04-26,28215918,91,FALSE,/2D08E4pqE95FM8yOJ3gOy5zWaW0.jpg,3500000,http://www.newline.com/properties/friday.html,tt0113118,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",26.455,/eqD0jCDIEJ65CmyG63Jaay6bHDp.jpg,A lot can go down between thursday and saturday...,Comedy,New Line Cinema,United States of America,English
6,Gemini Man,6.311,4718,2019-10-02,173469516,117,FALSE,/c3F4P2oauA7IQmy4hM0OmRt2W7d.jpg,140000000,http://skydance.com/film/gemini-man/,tt1025100,Gemini Man,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.",23.667,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,Who will save you from yourself?,"Science Fiction, Action, Adventure, Thriller","Skydance, Jerry Bruckheimer Films, Alibaba Pictures Group, Fosun Pictures, Paramount, Gobierno de Colombia, Hungarian National Film Fund","China, Colombia, Hungary, United States of America",English
7,The Mortuary Collection,6.769,379,2020-10-08,107629,108,FALSE,/tsGSTBl5H8DBLnHc24Teny0Ppc5.jpg,0,http://www.trapdoorpictures.com/the-mortuary-collection-main,tt7781432,The Mortuary Collection,"In the phantasmagorical town of Raven's End, a misguided young girl takes refuge in a decrepit old mortuary. The eccentric undertaker chronicles the strange history of the town through a series of twisted tales, each more terrifying than the last, but the young girl's world is unhinged when she discovers that the final story... is her own.",13.971,/5WXeYnezavNI6hXH74aQYv6yFzj.jpg,Every Corpse Has a Story,"Fantasy, Horror","Trapdoor Pictures, Mountain Path Entertainment, Alliance Media Partners",United States of America,English
8,The Nun II,6.545,365,2023-09-06,231200000,110,FALSE,/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,38500000,https://www.warnerbros.com/movies/nun2,tt10160976,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",1692.778,/c9kVD7W8CT5xe4O3hQ7bFWwk68U.jpg,Confess your sins.,"Horror, Mystery, Thriller","New Line Cinema, Atomic Monster, The Safran Company",United States of America,"English, French"
9,La Fille Mal Gardée (The Royal Ballet),0,0,2015-05-05,0,135,FALSE,/pVV737sfgsuFRO4HLjDHf4iCXgW.jpg,0,http://www.roh.org.uk/showings/la-fille-mal-gardee-live-2015,tt15245772,La Fille Mal Gardée (The Royal Ballet),"Frederick Ashton's La Fille mal gardée (The Wayward Daughter) is one of the choreographer's most joyous and colourful creations. Inspired by his love for the Suffolk countryside, the ballet is set on a farm and tells a story of love between Lise, the daughter of Widow Simone, and Colas, a young farmer. It contains some of Ashton's most stunning choreography, most strikingly in the series of energetic pas de deux that express the youthful passion of the young lovers, performed here by Natalia Osipova and Steven McRae. The ballet is laced with exuberant good humour, and elements of national folk dance, from dancing chickens and a maypole dance to a Lancashire clog dance for Widow Simone, performed by Philip Mosley.",0.6,/2nd382OvmdNMUI4DbaKvbCoxDpw.jpg,Frederick Ashton’s joyful ballet The Wayward Daughter contains some of his most brilliant choreography.,"Music, Romance, Comedy","Royal Opera House, The Royal Ballet",United Kingdom,English
10,Return of the Jedi,7.892,14591,1983-05-25,572700000,132,FALSE,/psYeKwKclG4XaIop5suj1J0Kg2C.jpg,32350000,http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,tt0086190,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",40.104,/jQYlydvHm3kUix1f8prMucrplhm.jpg,The Empire Falls...,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English
11,The Way Back,6.969,1402,2010-11-22,24172201,133,FALSE,/jcQfgcq1j7Vit4wQ54niXiLfvE8.jpg,30000000,http://thewaybackthemovie.com/,tt1023114,The Way Back,"At the dawn of WWII, several men escape from a Russian gulag—to take a perilous and uncertain journey to freedom as they cross deserts, mountains and several nations.",14.803,/6imc5u5H1RASjWPOQ923VFzIo6E.jpg,Their escape was just the beginning.,"Drama, Adventure, History","Kontsept Film Company, Imagenation Abu Dhabi FZ, Exclusive Films, Monolith Films, On the Road, Point Blank Productions, National Geographic","United Arab Emirates, United States of America","English, Polish, Russian"
12,The Perfect Man,6.051,742,2005-06-17,0,100,FALSE,/5pgb490RHuth6YV2dYU1YsMEJEt.jpg,0,http://www.watchvideoseries.com/movies/the-perfect-man-2005/,tt0380623,The Perfect Man,"Holly is tired of moving every time her mom Jean breaks up with yet another second-rate guy. To distract her mother from her latest bad choice, Holly conceives the perfect plan for the perfect man, an imaginary secret admirer who will romance Jean and boost her self-esteem.",12.487,/8cE4xZkmE7NkWcgNk8A6dZ7Ou6Q.jpg,Is it all too good to be true?,"Comedy, Drama, Family, Romance",Universal Pictures,United States of America,"English, German"
13,Cop Land,6.791,1399,1997-08-15,44862187,104,FALSE,/cnD5ygO97xFY8wQPwLP5v9saus7.jpg,15000000,http://www.miramax.com/movie/cop-land,tt0118887,Cop Land,"Freddy Heflin is the sheriff of a place everyone calls “Cop Land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. Yet something ugly is taking place behind the town’s peaceful facade. And when Freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law.",17.632,/qzR7m6kUhsbdid3xRK2jTXjyNmG.jpg,No One Is Above The Law.,"Crime, Drama, Mystery","Miramax, Across the River Productions, Woods Entertainment",United States of America,"English, Georgian"
14,The Accursed,4.1,21,2022-10-14,0,96,FALSE,/dAcWx9pcEVxDwC90VPxgzXJC7AO.jpg,0,https://theaccursed.com/,tt14617254,The Accursed,"Elly is asked by a family friend to spend a few days looking after an elderly woman living in a remote cabin. She readily agrees thinking a short trip to the woods will be a nice escape. The cabin turns out to be anything but relaxing as Elly begins hallucinating in ways that blur reality with her dreams. As the visions take over, Elly realizes that she was lured there by a demonic presence hiding inside of the woman just waiting to break free.",3.354,/27IgOiz7Vp19ei13pnRdOir7SD8.jpg,Are you ready to gaze into hell?,Horror,"Blood Red Films, Storyoscopic Films",United States of America,English
15,WCW Spring Stampede 1998,10,1,1998-04-19,0,160,FALSE,/i3fi65uhg5oD87dQCu2WDqZE5Jl.jpg,0,http://en.wikipedia.org/wiki/Spring_Stampede#1998,tt2540096,WCW Spring Stampede 1998,"""Macho Man"" Randy Savage faces Sting in a No Disqualification Match for the WCW World Heavyweight Championship. Hollywood Hogan & Kevin Nash take on ""Rowdy"" Roddy Piper & The Giant in a Baseball Bat on a Pole Match. Raven takes on ""Diamond"" Dallas Page in a Raven's Rules Match with the WCW United States Championship up for grabs and much more!",1.831,/wMbRygId8zKLH98NsO3j7ceQ2UE.jpg,The Biggest. The Baddest. No Bull.,Action,World Championship Wrestling (WCW),United States of America,English
16,The Search for Santa Paws,6.211,185,2010-10-12,0,89,FALSE,/A7JLOMnim2y26Vt06vwvz7HmORM.jpg,0,http://disneydvd.disney.go.com/the-search-for-santa-paws.html,tt1544572,The Search for Santa Paws,"In the tradition of disney's classic holiday tales comes a heartwarming movie about the power of giving and the true meaning of christmas. Discover how the legendary friendship of Santa Claus and Santa Paws began in the inspiring original film, The Search For Santa Paws. When Santa and his new best friend, Paws, discover that the boys and girls of the world have lost the spirit of the season, they take a trip to New York City. But after Santa loses his memory, it's up to Paws, a faithful orphan named Quinn, her new friend Will, and a wonderful group of magical talking dogs to save St. Nick and show the world what Christmas is really all about.",10.268,/rW6rXvT6AeNC4AUBC2HJiiLpwly.jpg,The Search is On!,"Family, Adventure","Key Pix Productions, Keystone Entertainment, Santa Paws Productions, Walt Disney Studios Home Entertainment",Canada,English
17,I'm Your Woman,5.927,186,2020-10-15,0,120,FALSE,/5XKMS1dJFfnEOrl1koJyb31p5js.jpg,0,https://www.amazon.com/dp/B08KZD3FZ4,tt10243992,I'm Your Woman,"A woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",10.706,/uTcJAxIV8BzNXuvcViBSibQSBid.jpg,No one survives alone.,"Crime, Drama","Amazon Studios, Big Indie Pictures, Original Headquarters, Scrap Paper Pictures",United States of America,English
18,Selma,7.402,2084,2014-12-25,66787908,127,FALSE,/kVGUdR1CXKAyCFj5Tt4uyR2bpFx.jpg,20000000,https://www.paramount.com/movies/selma,tt1020072,Selma,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",10.925,/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg,One dream can change the world.,"History, Drama","Plan B Entertainment, Harpo Films, Celador Films, Pathé, Cloud Eight Films","United Kingdom, United States of America",English
19,Hex Hollow: Witchcraft and Murder in Pennsylvania,10,1,2015-11-28,0,73,FALSE,/ucXjARewvyveUYYhn8sCKKNxQdd.jpg,31000,http://www.hexhollowmovie.com/,tt3145016,Hex Hollow: Witchcraft and Murder in Pennsylvania,A documentary film investigating the 1928 murder of a Pennsylvania farmer and the allegations of witchcraft that shocked the nation.,0.6,/ccTGbHg50khtraavvFMjtnb9MSY.jpg,Witchcraft and Murder in Pennsylvania,"History, Documentary, Crime, Mystery",Freestyle Media,United States of America,English
20,3 Wicked Witches,5.2,6,2014-01-01,0,75,FALSE,/cYsUnWOrK76U2pR37tywrygQPEF.jpg,1000000,http://www.rapidheart.com/3-wicked-witches/,tt3174226,3 Wicked Witches,"When three best friends from college reunite for their 25th year reunion, revenge becomes the order of day. A possessed clown doll is sent on a mission of murder to the local frat house…",3.159,/cGlrgc3rPxM1RU2KRRiiPVALkSn.jpg,They'll put a spell on you!,"Horror, Thriller, Comedy",Rapid Heart Pictures,United States of America,English
21,Retribution,6.816,258,2023-08-23,12905464,91,FALSE,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,20000000,https://iiil.io/jCT7,tt6906292,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",1547.22,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,All roads lead to the truth.,"Action, Mystery, Thriller, Crime","StudioCanal, The Picture Company, Ombra Films","France, United States of America","English, German"
