id,title,original_title,imdb_id,release_date,runtime,budget,revenue,overview,tagline,homepage,poster_path,backdrop_path
1,Rocky Balboa,Rocky Balboa,tt0479143,2006-12-20,101,24000000,155929020,"His Wife is dead and his Son hates him, but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger, and thirty years his junior.",It ain't over 'til it's over.,https://www.mgm.com/movies/rocky-balboa,/xUylDspiTKU3cYzZNeLsN8Krv12.jpg,/9mwMaNeeqPXJviKk2UKLxFm9vUW.jpg
2,Chasing the Star,Chasing the Star,tt5126178,2017-09-05,96,0,0,Three Magi Priests from different regions of the world journey through the unforgiving desert in hopes of finding proof of an age old prophecy. But Kings of men and fallen angels will stop at nothing to destroy the Magi and the baby boy they hold dear. These evils force the Magi to confront and make peace with old demons in order to prepare for the arrival of the new born King.,The Saviour is born,https://cdiproductions.com/projects/chasing-the-star/,/AoXWuDI4TCrnd6T4XzRw8MlVsHo.jpg,/aW5QkoW1ajjfTjlz6UvUDIkBxkG.jpg
3,David Gan: the Front Lines,David Gan: the Front Lines,tt7969392,2012-01-01,6,18000,0,"A young David Gan joins the WWII effort, eager to serve his country. Feelings of exclusion as a Chinese-American disappear in the Army. After experiencing the loss of so many fallen comrades, David dedicates his life to those who never came home.",The story of a man who dedicated his life to remembering those who served with him as his brothers.,http://www.eldoradofilms.com,/6Ze0JAcFHSYOceSVDzUs7BNAXFz.jpg,/kMzCzbXF3rNLUpNB31SKEmJ6mbv.jpg
4,How to Be Single,How to Be Single,tt1292566,2016-02-08,110,38000000,112343513,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",Welcome to the party,http://howtobesinglemovie.com/,/a4Ce3qHqIyHM3QfGsiVTAu3YADJ.jpg,/9yXPubeQuNzyIdbaUoXAurK40xv.jpg
5,Friday,Friday,tt0113118,1995-04-26,91,3500000,28215918,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",A lot can go down between thursday and saturday...,http://www.newline.com/properties/friday.html,/eqD0jCDIEJ65CmyG63Jaay6bHDp.jpg,/2D08E4pqE95FM8yOJ3gOy5zWaW0.jpg
6,Gemini Man,Gemini Man,tt1025100,2019-10-02,117,140000000,173469516,"Henry Brogan is an elite 51-year-old assassin who's ready to call it quits after completing his 72nd job. His plans get turned upside down when he becomes the target of a mysterious operative who can seemingly predict his every move. To his horror, Brogan soon learns that the man who's trying to kill him is a younger, faster, cloned version of himself.",Who will save you from yourself?,http://skydance.com/film/gemini-man/,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,/c3F4P2oauA7IQmy4hM0OmRt2W7d.jpg
7,The Mortuary Collection,The Mortuary Collection,tt7781432,2020-10-08,108,0,107629,"In the phantasmagorical town of Raven's End, a misguided young girl takes refuge in a decrepit old mortuary. The eccentric undertaker chronicles the strange history of the town through a series of twisted tales, each more terrifying than the last, but the young girl's world is unhinged when she discovers that the final story... is her own.",Every Corpse Has a Story,http://www.trapdoorpictures.com/the-mortuary-collection-main,/5WXeYnezavNI6hXH74aQYv6yFzj.jpg,/tsGSTBl5H8DBLnHc24Teny0Ppc5.jpg
8,The Nun II,The Nun II,tt10160976,2023-09-06,110,38500000,231200000,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",Confess your sins.,https://www.warnerbros.com/movies/nun2,/c9kVD7W8CT5xe4O3hQ7bFWwk68U.jpg,/53z2fXEKfnNg2uSOPss2unPBGX1.jpg
9,La Fille Mal Gardée (The Royal Ballet),La Fille Mal Gardée (The Royal Ballet),tt15245772,2015-05-05,135,0,0,"Frederick Ashton's La Fille mal gardée (The Wayward Daughter) is one of the choreographer's most joyous and colourful creations. Inspired by his love for the Suffolk countryside, the ballet is set on a farm and tells a story of love between Lise, the daughter of Widow Simone, and Colas, a young farmer. It contains some of Ashton's most stunning choreography, most strikingly in the series of energetic pas de deux that express the youthful passion of the young lovers, performed here by Natalia Osipova and Steven McRae. The ballet is laced with exuberant good humour, and elements of national folk dance, from dancing chickens and a maypole dance to a Lancashire clog dance for Widow Simone, performed by Philip Mosley.",Frederick Ashton’s joyful ballet The Wayward Daughter contains some of his most brilliant choreography.,http://www.roh.org.uk/showings/la-fille-mal-gardee-live-2015,/2nd382OvmdNMUI4DbaKvbCoxDpw.jpg,/pVV737sfgsuFRO4HLjDHf4iCXgW.jpg
10,Return of the Jedi,Return of the Jedi,tt0086190,1983-05-25,132,32350000,572700000,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",The Empire Falls...,http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,/jQYlydvHm3kUix1f8prMucrplhm.jpg,/psYeKwKclG4XaIop5suj1J0Kg2C.jpg
