id,movies_id,languages_id
1,1,1
2,1,2
3,1,3
4,2,1
5,3,1
6,4,1
7,5,1
8,6,1
9,7,1
10,8,1
11,8,4
12,9,1
13,10,1
14,11,1
15,11,5
16,11,6
17,12,1
18,12,7
19,13,1
20,13,2
21,14,1
22,15,1
23,16,1
24,17,1
25,18,1
26,19,1
27,20,1
28,21,1
29,21,7
30,22,1
31,23,1
32,24,1
33,25,1
34,26,1
35,26,4
36,27,1
37,28,1
38,29,1
39,30,1
40,31,1
41,32,1
42,33,1
43,34,1
44,35,1
45,35,8
46,36,1
47,36,9
48,37,1
49,38,1
50,39,1
51,40,1
52,41,1
53,42,4
54,42,1
55,43,1
56,44,1
57,45,1
58,45,3
59,46,1
60,47,1
61,48,1
62,49,1
63,50,1
64,51,1
65,51,4
66,52,1
67,53,1
68,54,1
69,55,1
70,56,1
71,57,1
72,58,1
73,59,10
74,60,1
75,61,1
76,62,1
77,62,3
78,63,1
79,64,3
80,64,1
81,65,1
82,66,1
83,67,1
84,68,1
85,69,1
86,70,1
87,71,1
88,72,11
89,72,12
90,72,1
91,73,1
92,74,1
93,75,1
94,75,3
95,76,7
96,76,1
97,76,4
98,76,9
99,77,1
100,78,1
101,79,1
102,80,1
103,81,4
104,81,1
105,82,1
106,83,1
107,84,1
108,85,1
109,86,1
110,87,1
111,88,1
112,89,1
113,89,3
114,90,13
115,90,1
116,91,1
117,92,1
118,93,1
119,94,1
120,94,14
121,95,15
122,95,1
123,96,1
124,97,1
125,98,1
126,99,1
127,100,1
