id,movie_id,popularity,vote_count,vote_average
1,1,35.605,3171,6.85
2,2,2.055,0,0
3,3,0.6,0,0
4,4,25.223,3048,6.246
5,5,26.455,1594,7.148
6,6,23.667,4718,6.311
7,7,13.971,379,6.769
8,8,1692.778,365,6.545
9,9,0.6,0,0
10,10,40.104,14591,7.892
11,11,14.803,1402,6.969
12,12,12.487,742,6.051
13,13,17.632,1399,6.791
14,14,3.354,21,4.1
15,15,1.831,1,10
16,16,10.268,185,6.211
17,17,10.706,186,5.927
18,18,10.925,2084,7.402
19,19,0.6,1,10
20,20,3.159,6,5.2
21,21,1547.22,258,6.816
22,22,1.308,1,1
23,23,17.511,1891,5.691
24,24,1.441,2,8
25,25,2.556,16,6.2
26,26,6.303,54,7.13
27,27,7.108,275,5.607
28,28,10.899,129,6.76
29,29,6.362,92,7.033
30,30,9.381,497,4.116
31,31,9.864,201,5.032
32,32,1.475,3,8.3
33,33,0.772,5,5.4
34,34,4.473,20,7.3
35,35,1.758,16,6
36,36,43.495,781,6.512
37,37,16.284,1038,5.727
38,38,4.74,54,7.12
39,39,0.731,0,0
40,40,2.147,2,7
41,41,9.801,244,6.461
42,42,2.978,18,7.7
43,43,12.239,497,5.965
44,44,5.419,85,7.194
45,45,79.542,5066,7.002
46,46,1.34,9,6.222
47,47,32.043,985,6.953
48,48,0.824,3,5.2
49,49,6.176,138,5.2
50,50,26.572,233,7.219
51,51,35.808,13170,7.202
52,52,12.826,912,5.55
53,53,0.6,0,0
54,54,0.998,1,7
55,55,16.053,1092,6.541
56,56,10.998,155,6.855
57,57,24.105,941,4.347
58,58,8.757,103,4.966
59,59,0.6,0,0
60,60,26.811,1844,6.834
61,61,13.596,143,5.308
62,62,8.819,255,5.925
63,63,5.534,59,6.144
64,64,0.94,10,5.2
65,65,14.735,250,6.568
66,66,0.616,6,5.2
67,67,3.936,41,4.207
68,68,4.317,9797,6.254
69,69,4.31,34,6.7
70,70,1.339,3,6.7
71,71,12.227,638,6.65
72,72,21.434,3364,7.074
73,73,8.864,379,7.577
74,74,13.605,803,5.946
75,75,164.985,1987,7.194
76,76,1.4,10,7.3
77,77,3.169,4,7.8
78,78,1.094,8,5.4
79,79,14.959,1334,6.264
80,80,8.951,280,6.971
81,81,14.155,127,4.913
82,82,4.623,128,7.5
83,83,28.985,4703,6.824
84,84,0.858,0,0
85,85,29.693,4634,6.9
86,86,1.4,0,0
87,87,6.242,45,4.022
88,88,5.55,45,5.667
89,89,32.032,2197,7.787
90,90,3.224,4,7
91,91,1.916,0,0
92,92,2.616,18,8.265
93,93,0.799,4,4.2
94,94,63.941,1014,6.723
95,95,8.652,62,6.1
96,96,15.916,948,7.281
97,97,5.731,40,5.175
98,98,5.052,68,5.37
99,99,3.853,68,6.647
100,100,2.347,54,6.8
